year,online_shopping_users_100m,online_shopping_usage_pct,cnnic_report,cnnic_report_url,online_retail_sales_trillion_cny,official_comparable_yoy_pct,physical_goods_online_share_pct,nbs_release_url
2021,8.42,81.6,49,https://www.cnnic.net.cn/n4/2022/0401/c88-1131.html,13.09,14.1,24.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901341.html
2022,8.45,79.2,51,https://www.cnnic.net.cn/n4/2023/0303/c88-10757.html,13.79,4.0,27.2,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202301/t20230117_1892127.html
2023,9.15,83.8,53,https://www.cnnic.net.cn/n4/2024/0322/c88-10964.html,15.43,11.0,27.6,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946619.html
2024,9.74,87.9,55,https://www.cnnic.net.cn/n4/2025/0117/c88-11229.html,15.52,7.2,26.8,https://www.stats.gov.cn/sj/zxfb/202501/t20250117_1958327.html
2025,9.37,83.2,57,https://www.cnnic.net.cn/n4/2026/0304/c88-11549.html,15.97,8.6,26.1,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962323.html
